,2,4,5,10
1000,0.917056075,0.92163162,0.925934579,0.927764798
2000,0.919392523,0.929517134,0.930529595,0.932827103
5000,0.92017134,0.927472741,0.927102804,0.929400312
10000,0.915498442,0.924746885,0.924221184,0.924922118
15000,0.916471963,0.920950156,0.921183801,0.923987539
20000,0.911799065,0.920852804,0.92165109,0.92305296
