,2,4,5,10
1000,0.931658879,0.93847352,0.938707165,0.941004673
2000,0.941004673,0.945969626,0.948364486,0.948325545
5000,0.940031153,0.947819315,0.947975078,0.949883178
10000,0.941004673,0.947040498,0.947429907,0.948987539
15000,0.939836449,0.946943146,0.94758567,0.949376947
20000,0.941004673,0.946845794,0.947663551,0.949182243
